;nome;total_reclamacoes;indice;total_clientes;satisfacao_geral;satisfacao_remuneracao_beneficios;segmento
88;CAIXA GERAL;7;0.0;994.0;;;S4
89;CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11;0.0;116019.67;;;
90;CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;49;0.0;33967.0;;;
91;CCB;772;0.0;98789.14;;;S3
92;CELCOIN INSTITUICAO DE PAGAMENTO S.A.;74;0.0;0.0;;;
93;CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;2;0.0;110491.5;;;
94;CIELO S.A.;171;0.0;134816.0;;;
95;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;155;0.0;204066.0;;;
96;CITIBANK;97;0.0;10574.0;3.9;3.8;S2
97;CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA;30;0.0;0.0;;;
98;COBUCCIO;201;0.0;188201.25;;;
99;COLOMBO;44;0.0;196258.29;;;
100;COOPER CARD INSTITUIÇÃO DE PAGAMENTO LTDA.;4;0.0;385655.5;;;
101;CRED-SYSTEM;116;0.0;0.0;;;
102;CREDI-SHOP S/A - INSTITUIÇÃO DE PAGAMENTO;6;0.0;714714.67;;;
103;CREDIT SUISSE;4;0.0;5997.0;3.8;3.6;S2
104;CREDSYSTEM;129;0.0;2117755.0;;;
105;CREFISA;2013;24.64;1812340.0;;;
106;DAYCOVAL;6015;251.64;856541.0;;;
107;DEUTSCHE BANK S.A. - BANCO ALEMAO;1;0.0;0.0;;;
108;DOCK INSTITUIÇÃO DE PAGAMENTO S.A.;91;0.0;2005494.5;;;
109;EBANX INSTITUICAO DE PAGAMENTOS LTDA.;466;86.44;530361.25;;;
110;EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.;14;0.0;0.0;;;
111;FACEBOOK INSTITUIÇÃO DE PAGAMENTO DO BRASIL LTDA.;11;0.0;0.0;;;
112;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;2922;373.97;372192.14;;;
113;FATOR;1;0.0;0.0;;;S4
114;FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;45;0.0;13343.5;;;
115;FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;39;0.0;48638.71;;;
116;FINAXIS;4;0.0;2629.33;;;
117;FISERV DO BRASIL  INSTITUIÇÃO DE PAGAMENTO LTDA;2;0.0;93.0;;;
118;FITBANK INSTITUIÇÃO DE PAGAMENTOS ELETRÔNICOS S.A.;5;0.0;29083.0;;;
119;FITBANK PAGAMENTOS ELETRONICOS S.A.;10;0.0;9470.5;;;
120;FLAGSHIP INSTITUICAO DE PAGAMENTOS LTDA;22;0.0;36903.0;;;
121;FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A;28;0.0;637834.0;;;
122;FORTBRASIL INSTITUIÇÃO DE PAGAMENTO S/A;39;0.0;660995.5;;;
123;GAZIN;6;0.0;35621.25;;;
124;GENIAL;116;0.0;309981.71;;;
