Segmento	CNPJ	Nome
S4	13009717	BANCO DO EST. DE SE S.A. - PRUDENCIAL
S4	4913711	BANCO DO EST. DO PA S.A. - PRUDENCIAL
S4	61348538	BANCO FICSA S.A. - PRUDENCIAL
S4	90731688	BANCO FORD S.A. - PRUDENCIAL
S4	31880826	BANCO GUANABARA S.A. - PRUDENCIAL
S4	33588252	BANCO INDUSCRED DE INVESTIM. S/A - PRUDENCIAL
S4	7656500	BANCO KDB BRASIL S.A. - PRUDENCIAL
S4	2318507	BANCO KEB DO BRASIL SA - PRUDENCIAL
S4	33042151	BANCO LA NACION ARGENTINA - PRUDENCIAL
S4	44189447	BANCO LA PROVINCIA B AIRES BCE - PRUDENCIAL
S4	59118133	BANCO LUSO BRASILEIRO S.A. - PRUDENCIAL
S4	80271455	BANCO MAXINVEST S.A. - PRUDENCIAL
S4	30723886	BANCO MODAL S.A. - PRUDENCIAL
S4	253448	BANCO POTTENCIAL S.A. - PRUDENCIAL
S4	51938876	BANCO REP ORIENTAL URUGUAY BCE - PRUDENCIAL
S4	4866275	BANCO STANDARD INV S.A. - PRUDENCIAL
S4	3215790	BANCO TOYOTA DO BRASIL S.A. - PRUDENCIAL
S4	17351180	BANCO TRIANGULO S.A. - PRUDENCIAL
S4	57839805	BANCO TRICURY S.A. - PRUDENCIAL
S4	15357060	BANCO WOORI BANK DO BRASIL S.A. - PRUDENCIAL
S4	20443996	BECKER FINANCEIRA SA - CFI
S4	13059145	BEXS - PRUDENCIAL
S4	33862244	BGC LIQUIDEZ DTVM LTDA
S4	11285104	BIORC FINANCEIRA - CFI S.A.
S4	4452473	BMW
S4	42272526	BNY MELLON - PRUDENCIAL
S4	6373777	BOA VIAGEM SCC LTDA.
S4	71027866	BONSUCESSO - PRUDENCIAL
S4	61033106	BPN BRASIL BM S.A. - PRUDENCIAL
S4	13220493	BR PARTNERS - PRUDENCIAL
S4	45246410	BRASIL PLURAL - PRUDENCIAL
S4	44077014	BR-CAPITAL DTVM S.A.
S4	12865507	BRICKELL S.A. CFI
S4	13486793	BRL TRUST DTVM SA
S4	16944141	BROKER BRASIL CC LTDA.
